month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
09-16,0.12,5.32,4.45,5.68,0.8,35.21,1.26,0.18,0.58,1.24,10.43
09-17,0.4,53.23,0.13,45.24,12.11,0.04,0.74,0.62,0.71,0.12,0.42
09-18,0.2,27.38,6.42,8.47,8.57,8.94,0.7,32.59,43.4,0.02,8.4
09-19,0.02,1.54,13.87,0.01,10.03,0.77,1.14,1.7,18.7,0.45,3.84
09-20,0.79,0.03,96.19,0.02,23.63,0.01,2.14,0.02,15.1,1.37,1.33
09-21,0,0.11,0.56,0.01,24.56,0.05,2.41,0.16,2.28,1.58,0.81
09-22,0.09,0.06,30.46,11.71,4.5,3.67,3.02,2.24,2.26,12.7,21.1
09-23,0.01,0,11.25,21.35,0.38,3.81,30.71,1.6,24.81,34.74,11.38
09-24,2.51,0.56,4.51,0.16,1.51,0.4,12.01,0.11,65.34,0.05,0.06
09-25,15.53,33.56,1.57,0.31,33.91,0.36,10.41,1.64,5.5,0.36,5.1
09-26,0.17,1.71,0.27,0.6,11.09,0.01,9.8,0.15,0.01,1.14,0.93
09-27,0.03,7.05,1.74,0.11,21.91,0,7.09,0.4,0.01,0.33,20.83
09-28,0.04,0.01,0.95,60.11,0,0,0.16,0.05,0.19,0.32,10.27
09-29,0,0.01,2.79,0.43,17.77,7.35,0.01,0.06,4.63,0.21,1.64
09-30,0.1,0,0.15,0.4,49.21,0.22,0.03,14.3,1.32,0.83,1.89
10-01,4.56,7.21,4,0.02,10.49,0.03,3.73,113.49,0.14,6.16,3.63
10-02,1.8,16.86,0.48,2.8,0,0,0,5.66,0,0.16,1.9
10-03,0.49,0.04,18.17,6.28,0.04,0.4,0,2.55,0,0.08,15.77
10-04,0.66,0.31,0.05,0.33,2.09,11.46,0,0,0.01,12.68,15.81
10-05,109.61,0.53,1.23,0,8.61,0.07,0.14,0.03,11.79,0.33,13.21
10-06,94.05,0,0.12,23.34,2.58,5.6,0.01,0.36,12.74,0,4.51
10-07,0.01,0.01,0.07,27.6,0.1,1.13,6.81,2.07,42.49,0,0.52
10-08,0.04,0,5.67,0.01,0.15,7.46,38.07,1.74,0.16,2.69,33.57
10-09,0.55,0,12.07,0,0.19,0,49.74,0.81,4.63,42,89.77
10-10,0.01,1.05,1.55,0,0.19,2.3,67.65,1.36,7.59,11.85,2.38
10-11,0.09,10.58,0.21,0.03,7.38,32.83,2.85,0.02,0.02,0.01,0.09
10-12,0.05,0.01,0,0.89,1.85,115.07,1.95,1.55,0.32,0.04,0.23
10-13,29.09,0,2.9,8.11,0.7,0.34,0.33,13.62,13.57,0.01,0.06
10-14,7.36,0,0.13,10.53,7.5,19.4,0.82,2.75,15.72,1.82,0.03
10-15,8.43,0.12,0,13.61,0.14,2.24,13.77,0.23,2.3,56.3,0.08
10-16,0.73,13.37,0.02,23.49,0.66,2.8,0.85,2.04,0.07,0.02,0.58
10-17,0,6.83,25.12,12.07,1.17,1.54,23.02,13.88,5.85,0.01,2.48
10-18,0,0.22,3.68,0.42,0.51,3.92,2.57,0,6.46,0.09,17.08
10-19,0,0.05,0.35,41.39,1.31,61.2,7.63,11.72,0.96,0,9.52
10-20,0.37,0,0.12,15.24,5.12,1.31,0.12,1.58,0,0.94,2.66
10-21,3.18,0.28,0,23.14,0.06,12.5,0.15,0.54,0,0.17,0.19
10-22,37.54,0.07,1.06,110.19,0,49.98,0.06,15.41,0,0,0.52
10-23,8.62,0.3,0.14,19.96,1.74,0.02,8.8,0.12,0.43,0,2.91
10-24,0.01,0.09,0.01,0,5.63,0.42,0.1,0,2.02,0.01,0.58
10-25,0.76,0,1.07,27.67,0.01,91.68,0,10.14,4.87,1.45,0.67
10-26,6.04,0,0.51,0.13,0.11,0.01,0,34.11,1.61,0.67,0.05
10-27,5.64,0.14,0.39,0.01,18.91,1.74,0.9,4.5,0,0.27,1.57
10-28,0,0.69,28.22,9.19,0.01,1.41,0.07,0.27,0,1.24,12.19
10-29,0,0.98,1.43,102.89,0,16.32,0.04,0,0.01,0.81,24.43
