month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
09-04,0.000,2.680,0.000,0.053,0.003,0.570,7.257,0.203,0.357,0.000,1.910
09-05,0.037,2.793,0.367,0.060,0.073,0.553,4.443,0.187,0.027,0.000,1.690
09-06,0.227,4.910,0.793,1.613,0.427,1.207,5.163,0.073,0.470,0.000,0.000
09-07,0.580,8.967,0.847,1.710,0.423,4.297,3.220,0.137,0.597,0.000,0.000
09-08,1.280,6.933,0.527,1.660,0.363,5.437,3.593,0.143,0.640,0.000,4.880
09-09,1.627,4.833,0.110,1.857,0.067,5.540,5.027,0.150,0.197,0.000,0.580
09-10,1.383,0.493,0.133,1.760,0.073,4.717,4.740,0.033,0.060,0.003,0.100
09-11,0.683,0.070,0.090,1.760,0.600,4.337,4.563,0.017,0.010,0.023,0.050
09-12,0.147,0.880,0.103,0.010,3.313,3.550,2.470,0.010,0.070,0.120,0.110
09-13,0.037,0.920,0.283,0.000,3.497,1.090,2.870,0.000,0.063,0.150,2.290
09-14,0.167,0.900,1.160,0.000,3.060,0.130,2.293,0.000,0.120,0.177,0.360
09-15,0.333,0.040,1.490,0.013,1.610,0.527,0.777,0.000,0.320,0.090,0.010
09-16,0.397,0.000,1.243,0.020,1.563,1.473,0.080,0.003,1.240,0.057,0.020
09-17,0.240,0.047,0.427,0.033,1.867,1.523,0.000,0.020,2.347,0.010,0.020
09-18,0.077,0.160,0.153,0.110,1.147,1.227,0.007,0.047,2.313,0.000,0.770
09-19,0.023,0.270,0.263,0.270,1.947,0.280,0.557,1.590,1.623,0.000,2.740
09-20,0.077,0.280,0.543,0.257,1.830,0.233,1.230,4.443,2.047,0.000,0.320
09-21,0.130,0.167,0.463,0.423,1.407,1.453,1.553,4.560,7.587,0.010,14.440
09-22,0.980,0.357,0.650,1.590,0.500,1.400,1.320,3.023,7.400,0.187,2.080
09-23,2.113,0.913,6.947,1.753,0.227,1.377,0.650,0.153,5.820,0.193,1.750
09-24,3.933,1.083,6.997,1.497,0.190,0.007,0.347,0.010,1.493,0.190,0.040
09-25,4.103,0.830,6.907,0.167,0.693,0.000,0.053,0.003,1.727,0.020,1.600
09-26,2.943,0.717,0.373,0.010,0.683,0.000,0.373,0.007,1.850,0.027,0.000
09-27,1.190,0.810,0.810,0.087,0.590,0.000,0.347,0.077,0.760,0.020,0.010
09-28,0.477,0.850,0.760,0.123,0.053,0.000,0.323,0.073,0.483,0.013,2.070
09-29,0.677,1.183,1.447,0.117,0.050,0.000,0.010,0.117,0.727,0.000,0.100
09-30,0.627,1.300,1.180,0.870,1.400,0.007,0.047,0.193,1.297,0.000,0.000
10-01,0.420,1.250,1.030,4.073,7.933,3.100,0.050,0.517,1.310,0.000,0.010
10-02,3.073,0.640,0.237,4.347,17.217,3.800,0.053,0.470,0.940,0.000,0.070
10-03,6.383,0.413,0.027,8.250,24.867,3.937,0.017,0.353,1.903,0.000,3.690
10-04,6.893,0.407,1.060,5.333,18.777,0.843,0.037,0.170,3.183,0.000,0.480
10-05,4.007,0.350,2.280,5.123,9.493,0.143,0.117,0.253,3.637,0.000,0.050
10-06,0.623,1.503,2.270,0.517,0.447,1.573,0.117,0.293,2.033,0.000,0.000
10-07,0.003,7.907,1.220,0.190,0.053,1.657,0.213,0.167,0.773,0.000,0.000
10-08,0.000,9.570,4.420,0.127,0.167,1.660,0.120,0.853,0.787,0.000,0.000
10-09,0.007,8.433,5.337,0.000,2.297,0.087,0.157,1.217,0.610,0.000,0.000
10-10,0.017,2.017,5.373,0.000,2.370,0.003,6.297,1.307,0.943,0.000,0.050
10-11,0.017,0.187,0.957,0.000,2.370,0.000,8.300,0.537,2.273,0.000,0.030
10-12,0.010,0.017,0.047,0.000,0.320,0.000,8.267,2.253,2.223,0.000,0.000
10-13,0.660,0.413,0.067,0.000,0.217,0.000,2.040,5.970,1.860,0.000,0.000
